iter	Passed	Remaining
0	53	53157
1	54	27047
2	55	18314
3	56	13951
4	57	11472
5	58	9656
6	60	8562
7	61	7575
8	61	6811
9	62	6187
10	63	5693
11	64	5270
12	64	4933
13	66	4664
14	66	4399
15	68	4192
16	69	3997
17	70	3848
18	71	3694
19	72	3558
20	73	3437
21	74	3312
22	75	3196
23	76	3093
24	76	2989
25	77	2894
26	77	2806
27	78	2729
28	79	2656
29	79	2585
30	80	2521
31	83	2513
32	84	2472
33	85	2436
34	87	2405
35	88	2367
36	89	2324
37	90	2283
38	91	2257
39	92	2220
40	93	2185
41	94	2152
42	95	2119
43	96	2097
44	97	2063
45	97	2032
46	98	2005
47	99	1980
48	100	1953
49	101	1934
50	103	1927
51	104	1902
52	105	1878
53	106	1857
54	107	1839
55	108	1823
56	109	1804
57	109	1783
58	110	1766
59	111	1752
60	112	1738
61	113	1719
62	114	1703
63	115	1683
64	116	1673
65	116	1654
66	117	1637
67	118	1622
68	119	1610
69	120	1595
70	120	1579
71	121	1564
72	122	1549
73	122	1537
74	123	1521
75	124	1508
76	124	1495
77	125	1487
78	126	1479
79	127	1470
80	128	1462
81	129	1453
82	130	1446
83	131	1438
84	133	1432
85	133	1422
86	134	1412
87	135	1401
88	136	1392
89	136	1382
90	137	1372
91	138	1366
92	139	1362
93	140	1357
94	141	1351
95	142	1343
96	143	1335
97	144	1329
98	144	1318
99	146	1314
100	146	1305
101	147	1298
102	148	1290
103	148	1280
104	149	1271
105	149	1262
106	150	1254
107	150	1246
108	151	1238
109	152	1233
110	153	1226
111	153	1218
112	154	1211
113	155	1207
114	155	1200
115	156	1196
116	158	1199
117	159	1192
118	160	1185
119	160	1177
120	161	1170
121	161	1163
122	162	1157
123	163	1151
124	163	1144
125	164	1137
126	164	1131
127	165	1124
128	165	1118
129	166	1112
130	169	1122
131	173	1138
132	173	1133
133	174	1129
134	176	1133
135	177	1129
136	180	1135
137	183	1148
138	186	1156
139	189	1161
140	190	1157
141	191	1156
142	191	1150
143	192	1144
144	194	1145
145	195	1141
146	195	1135
147	196	1131
148	197	1126
149	198	1122
150	198	1117
151	199	1111
152	199	1106
153	200	1101
154	201	1097
155	202	1092
156	203	1091
157	205	1097
158	207	1095
159	208	1092
160	208	1086
161	208	1080
162	210	1081
163	211	1076
164	211	1072
165	212	1067
166	213	1063
167	214	1060
168	223	1099
169	224	1094
170	225	1091
171	225	1086
172	226	1082
173	226	1076
174	227	1071
175	227	1066
176	228	1062
177	229	1057
178	229	1053
179	230	1050
180	231	1045
181	231	1041
182	232	1037
183	233	1033
184	233	1029
185	234	1025
186	234	1021
187	235	1017
188	236	1013
189	236	1008
190	237	1004
191	237	1000
192	237	995
193	238	991
194	238	986
195	239	981
196	239	976
197	240	972
198	240	967
199	240	962
200	241	959
201	241	955
202	242	951
203	242	948
204	243	944
205	243	939
206	244	936
207	245	934
208	246	932
209	246	929
210	247	925
211	248	924
212	249	920
213	249	917
214	250	913
215	250	909
216	251	906
217	251	902
218	252	898
219	252	895
220	253	891
221	253	888
222	254	885
223	254	883
224	255	879
225	255	874
226	255	870
227	256	867
228	256	865
229	257	860
230	257	857
231	257	853
232	258	850
233	258	846
234	259	843
235	259	840
236	259	836
237	260	834
238	261	831
239	261	829
240	262	826
241	262	822
242	263	819
243	263	816
244	263	813
245	264	809
246	264	805
247	264	802
248	264	798
249	265	795
250	265	792
251	266	789
252	266	786
253	266	783
254	267	781
255	267	778
256	268	776
257	268	772
258	268	769
259	269	765
260	269	762
261	270	760
262	270	757
263	270	754
264	271	751
265	272	751
266	272	748
267	272	745
268	273	744
269	274	742
270	275	740
271	276	739
272	276	736
273	276	733
274	277	732
275	278	730
276	279	728
277	279	726
278	280	724
279	280	722
280	281	720
281	281	717
282	282	715
283	282	712
284	283	710
285	283	708
286	284	706
287	284	704
288	285	702
289	285	699
290	286	697
291	286	695
292	287	692
293	287	691
294	288	689
295	288	687
296	289	684
297	290	683
298	291	682
299	291	680
300	292	678
301	292	676
302	293	674
303	293	672
304	293	669
305	294	667
306	295	666
307	295	664
308	296	662
309	296	660
310	297	658
311	297	656
312	297	653
313	298	651
314	298	650
315	299	648
316	300	646
317	300	644
318	301	642
319	301	641
320	302	640
321	303	638
322	304	637
323	304	635
324	305	634
325	306	633
326	306	631
327	307	629
328	308	628
329	308	626
330	309	625
331	309	623
332	310	621
333	310	619
334	311	618
335	312	616
336	312	614
337	313	613
338	313	611
339	314	609
340	314	608
341	315	606
342	316	605
343	317	604
344	317	603
345	318	601
346	319	600
347	319	599
348	320	597
349	320	595
350	321	594
351	321	592
352	322	590
353	322	588
354	323	587
355	323	585
356	324	584
357	324	582
358	325	581
